"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid"
"A","0","0","2023-10-23T10:21:36.000Z","catflap236","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7196203589915051009","7293097018163446530"
"i gave up follow influencers that i like, i like to see photos and they post only reels. I lost interest so fast when this happen","0","0","2023-10-23T05:14:30.000Z","a.waynd","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6736356281944769542","7293017889258406661"
"Soy de Guatemala y si me funciono el enlace de su perfil","2","2","2023-10-23T03:16:00.000Z","dulcesdairy","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6969417922919252997","7292987375843263237"
"Pero anúnciala cuando ya sea internacional 🥺","0","0","2023-10-23T00:25:34.000Z","jovannaclaudeth","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7079086675247744005","7292943427049276166"
"Ojalá salga para Android ✨","0","0","2023-10-22T23:34:40.000Z","jennisauriorex","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6532369008309698561","7292930313960620805"
"Yeaaah","0","0","2023-10-22T23:07:04.000Z","marinabenini4","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6807552297582330886","7292923231144116998"
"No la encontré","0","0","2023-10-22T23:05:15.000Z","hanchel.00","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","292095815203033088","7292922760295547653"
"@anne so🪐 @Lara hm intéressant","1","0","2023-10-22T20:53:36.000Z","1s.abella","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6808381053473932293","7292888818045993733"
"Amazing idea i LOVE this!! When you blow up and need european representatives hire me 💜","8","1","2023-10-20T09:54:15.000Z","jeboifrancis","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6805164557129024517","7291976552061240096"
"Got you 😎","1",,"2023-10-20T11:33:51.000Z","ahmadnabihah","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6906931558952502278","7292002300737651502"
"tienes iPhone o Android?","0",,"2023-10-24T21:21:50.000Z","roosaaliiaaaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","170735207015219200","7293638286726152966"
